Sample	Taxonomy	Count
FrozenWWsample	k:Eukaryota(1.00),p:Discoba(0.25),c:Jakobida(0.25),o:uncultured dinoflagellate(0.25)	25496
FrozenWWsample	k:Eukaryota(1.00),p:Amorphea(1.00),c:Obazoa(1.00),o:Opisthokonta(1.00),f:Holozoa(1.00),g:Choanozoa(1.00),s:Metazoa(1.00)	6233
FrozenWWsample	k:Eukaryota(1.00),p:Amorphea(0.98),c:Obazoa(0.98),o:Opisthokonta(0.98),f:Nucletmycea(0.94),g:Fungi(0.94),s:Dikarya(0.94)	5079
FrozenWWsample	k:Eukaryota(1.00),p:Amorphea(0.91),c:Obazoa(0.91),o:Opisthokonta(0.91),f:Nucletmycea(0.91),g:Fungi(0.91),s:Dikarya(0.91)	3161
FrozenWWsample	k:Eukaryota(1.00),p:Discoba(0.30),c:Jakobida(0.30),o:uncultured dinoflagellate(0.30)	1724
FrozenWWsample	k:Eukaryota(1.00),p:Amorphea(0.99),c:Obazoa(0.99),o:Opisthokonta(0.99),f:Nucletmycea(0.99),g:Fungi(0.99),s:Dikarya(0.98)	1557
FrozenWWsample	k:Eukaryota(1.00),p:Cryptophyceae(1.00),c:Cryptomonadales(1.00),o:Cryptomonas(1.00),f:uncultured eukaryote(1.00)	1341
FrozenWWsample	k:Eukaryota(1.00),p:Amorphea(0.68),c:Obazoa(0.68),o:Opisthokonta(0.68),f:Nucletmycea(0.68),g:Fungi(0.68),s:Dikarya(0.68)	239
FrozenWWsample	k:Eukaryota(1.00),p:SAR(1.00),c:Rhizaria(1.00),o:Cercozoa(1.00),f:Cercomonadidae(1.00),g:Cercomonas(1.00),s:metagenome(1.00)	225
FrozenWWsample	k:Eukaryota(1.00),p:SAR(1.00),c:Stramenopiles(1.00),o:Ochrophyta(1.00),f:Chrysophyceae(1.00),g:Chromulinales(1.00),s:Spumella(1.00)	169
FrozenWWsample	k:Eukaryota(1.00),p:SAR(1.00),c:Alveolata(1.00),o:Ciliophora(1.00),f:Intramacronucleata(1.00),g:Conthreep(1.00),s:Oligohymenophorea(1.00)	159
FrozenWWsample	k:Eukaryota(1.00),p:Amorphea(0.72),c:Obazoa(0.56),o:Opisthokonta(0.56),f:Nucletmycea(0.27),g:Fungi(0.27),s:Chytridiomycota(0.04)	152
FrozenWWsample	k:Eukaryota(1.00),p:Discoba(0.10),c:Jakobida(0.10),o:uncultured dinoflagellate(0.10)	132
FrozenWWsample	k:Eukaryota(1.00),p:Cryptophyceae(1.00),c:Cryptomonadales(1.00),o:Rhodomonas(0.99),f:Rhodomonas sp. CCMP743(0.99)	126
FrozenWWsample	k:Eukaryota(1.00),p:SAR(1.00),c:Stramenopiles(1.00),o:Ochrophyta(1.00),f:Chrysophyceae(1.00),g:Ochromonadales(1.00),s:Ochromonas(1.00)	121
FrozenWWsample	k:Eukaryota(1.00),p:Archaeplastida(0.99),c:Chloroplastida(0.99),o:Charophyta(0.99),f:Phragmoplastophyta(0.99),g:Streptophyta(0.99),s:Embryophyta(0.99)	109
FrozenWWsample	k:Eukaryota(1.00),p:Amorphea(1.00),c:Obazoa(1.00),o:Opisthokonta(1.00),f:Nucletmycea(1.00),g:Fungi(1.00),s:Dikarya(1.00)	59
FrozenWWsample	k:Eukaryota(1.00),p:Amorphea(1.00),c:Amoebozoa(1.00),o:Archamoebae(1.00),f:Incertae Sedis(1.00),g:Rhizomastix(1.00),s:Ripella platypodia(1.00)	46
FrozenWWsample	k:Eukaryota(1.00),p:Amorphea(0.68),c:Obazoa(0.68),o:Opisthokonta(0.68),f:Nucletmycea(0.67),g:Fungi(0.67),s:Dikarya(0.67)	28
FrozenWWsample	k:Eukaryota(1.00),p:Archaeplastida(1.00),c:Chloroplastida(1.00),o:Charophyta(0.99),f:Phragmoplastophyta(0.99),g:Streptophyta(0.99),s:Embryophyta(0.99)	26
FrozenWWsample	k:Eukaryota(1.00),p:Amorphea(0.88),c:Obazoa(0.88),o:Opisthokonta(0.88),f:Nucletmycea(0.59),g:Fungi(0.59),s:Dikarya(0.59)	24
FrozenWWsample	k:Eukaryota(1.00),p:Archaeplastida(1.00),c:Chloroplastida(1.00),o:Charophyta(1.00),f:Phragmoplastophyta(1.00),g:Streptophyta(1.00),s:Embryophyta(1.00)	19
FrozenWWsample	k:Eukaryota(1.00),p:Cryptophyceae(0.88),c:Cryptomonadales(0.88),o:Cryptomonas(0.88),f:uncultured eukaryote(0.88)	15
FrozenWWsample	k:Eukaryota(1.00),p:Amorphea(0.95),c:Amoebozoa(0.56),o:Discosea(0.56),f:Flabellinia(0.56),g:Dactylopodida(0.56),s:Amoebozoa sp. Pa17(0.56)	14
FrozenWWsample	k:Eukaryota(1.00),p:Discoba(0.26),c:Jakobida(0.26),o:uncultured dinoflagellate(0.26)	10
FrozenWWsample	k:Eukaryota(1.00),p:Discoba(0.21),c:Jakobida(0.21),o:uncultured dinoflagellate(0.21)	6
FrozenWWsample	k:Eukaryota(1.00),p:SAR(0.81),c:Stramenopiles(0.80),o:Ochrophyta(0.77),f:Chrysophyceae(0.77),g:Ochromonadales(0.75),s:Ochromonas(0.75)	6
FrozenWWsample	k:Eukaryota(1.00),p:Amorphea(0.86),c:Obazoa(0.86),o:Opisthokonta(0.86),f:Nucletmycea(0.86),g:Fungi(0.86),s:Dikarya(0.86)	5
FrozenWWsample	k:Eukaryota(1.00),p:Amorphea(0.99),c:Obazoa(0.99),o:Opisthokonta(0.99),f:Nucletmycea(0.56),g:Fungi(0.56),s:Dikarya(0.56)	4
FrozenWWsample	k:Eukaryota(1.00),p:Cryptophyceae(0.98),c:Cryptomonadales(0.98),o:Rhodomonas(0.97),f:Rhodomonas sp. CCMP743(0.97)	3
FrozenWWsample	k:Eukaryota(1.00),p:Discoba(1.00),c:Discicristata(1.00),o:Euglenozoa(1.00),f:Kinetoplastea(1.00),g:Metakinetoplastina(1.00),s:Parabodonida(1.00)	3
FrozenWWsample	k:Eukaryota(1.00),p:SAR(0.84),c:Stramenopiles(0.84),o:Ochrophyta(0.84),f:Chrysophyceae(0.84),g:Chromulinales(0.84),s:Spumella(0.84)	3
FrozenWWsample	k:Eukaryota(1.00),p:Amorphea(0.95),c:Obazoa(0.95),o:Opisthokonta(0.95),f:Holozoa(0.95),g:Choanozoa(0.95),s:Metazoa(0.95)	2
FrozenWWsample	k:Eukaryota(1.00),p:Amorphea(0.96),c:Obazoa(0.96),o:Opisthokonta(0.96),f:Nucletmycea(0.96),g:Fungi(0.96),s:Dikarya(0.96)	2
FrozenWWsample	k:Eukaryota(1.00),p:Archaeplastida(0.73),c:Chloroplastida(0.73),o:Charophyta(0.72),f:Phragmoplastophyta(0.72),g:Streptophyta(0.72),s:Embryophyta(0.72)	2
FrozenWWsample	k:Eukaryota(1.00),p:Archaeplastida(0.85),c:Chloroplastida(0.85),o:Charophyta(0.85),f:Phragmoplastophyta(0.85),g:Streptophyta(0.85),s:Embryophyta(0.85)	2
FrozenWWsample	k:Eukaryota(1.00),p:SAR(0.49),c:Alveolata(0.47),o:Ciliophora(0.47),f:Intramacronucleata(0.47),g:Conthreep(0.46),s:Oligohymenophorea(0.46)	2
FrozenWWsample	k:Eukaryota(1.00),p:Amorphea(0.25),c:Obazoa(0.25),o:Opisthokonta(0.25),f:Nucletmycea(0.25),g:Fungi(0.25),s:Dikarya(0.25)	1
FrozenWWsample	k:Eukaryota(1.00),p:Amorphea(0.53),c:Obazoa(0.53),o:Opisthokonta(0.53),f:Nucletmycea(0.53),g:Fungi(0.53),s:Dikarya(0.53)	1
FrozenWWsample	k:Eukaryota(1.00),p:Amorphea(0.63),c:Obazoa(0.63),o:Opisthokonta(0.63),f:Nucletmycea(0.60),g:Fungi(0.60),s:Dikarya(0.60)	1
FrozenWWsample	k:Eukaryota(1.00),p:Amorphea(0.87),c:Obazoa(0.87),o:Opisthokonta(0.87),f:Nucletmycea(0.87),g:Fungi(0.87),s:Dikarya(0.87)	1
FrozenWWsample	k:Eukaryota(1.00),p:Amorphea(0.89),c:Obazoa(0.76),o:Opisthokonta(0.76),f:Nucletmycea(0.76),g:Fungi(0.72),s:Dikarya(0.72)	1
FrozenWWsample	k:Eukaryota(1.00),p:Amorphea(0.96),c:Obazoa(0.96),o:Opisthokonta(0.96),f:Holozoa(0.95),g:Choanozoa(0.95),s:Metazoa(0.95)	1
FrozenWWsample	k:Eukaryota(1.00),p:Amorphea(1.00),c:Obazoa(1.00),o:Opisthokonta(1.00),f:Nucletmycea(0.97),g:Fungi(0.97),s:Dikarya(0.97)	1
FrozenWWsample	k:Eukaryota(1.00),p:Cryptophyceae(0.86),c:Cryptomonadales(0.86),o:Rhodomonas(0.86),f:Rhodomonas sp. CCMP743(0.77)	1
